number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_iter,params_n,params_rho,params_tau_max,state
0,0.023675503209233284,2025-04-13 01:39:17.017119,2025-04-13 01:43:53.310832,0 days 00:04:36.293713,2.516386770221221,2.3516451767215933,47,444,0.16539030836544963,7.521260722888948,COMPLETE
1,0.024711158126592636,2025-04-13 01:43:53.311128,2025-04-13 01:50:30.941362,0 days 00:06:37.630234,2.762127625625994,1.5856237255182413,62,494,0.33542513752497616,5.1971873962833754,COMPLETE
2,0.0,2025-04-13 01:50:30.941625,2025-04-13 01:53:10.878169,0 days 00:02:39.936544,4.579550616880199,4.158484976193951,50,246,0.5894864191709807,7.544376362710255,COMPLETE
3,0.0,2025-04-13 01:53:10.878418,2025-04-13 01:55:42.253458,0 days 00:02:31.375040,4.178937522171493,3.0644042512638134,184,62,0.4348431103138834,6.754388316875127,COMPLETE
4,0.018356598913669586,2025-04-13 01:55:42.253698,2025-04-13 01:56:17.542705,0 days 00:00:35.289007,0.7170904733724714,4.426838352688113,113,23,0.2874323300346677,9.547631243929438,COMPLETE
5,0.024711158126592636,2025-04-13 01:56:17.542946,2025-04-13 01:56:32.950188,0 days 00:00:15.407242,4.727115622260179,4.807448264135937,62,18,0.6907649531536753,3.2909796358251473,COMPLETE
6,0.021640334278345108,2025-04-13 01:56:32.950426,2025-04-13 02:01:03.176814,0 days 00:04:30.226388,0.7333900202956817,1.4385546287222954,169,122,0.8939843627216093,8.443921899423742,COMPLETE
7,0.024212803691625595,2025-04-13 02:01:03.177071,2025-04-13 02:02:07.776416,0 days 00:01:04.599345,3.3514160182361006,0.3210280621012859,39,125,0.658420636564121,5.592556153115357,COMPLETE
8,0.024711158126592636,2025-04-13 02:02:07.776647,2025-04-13 02:31:58.511475,0 days 00:29:50.734828,4.7744233683455075,1.1763480890912856,188,347,0.18122901049381188,5.17726412101041,COMPLETE
9,0.02320351079106331,2025-04-13 02:31:58.511705,2025-04-13 02:45:57.290090,0 days 00:13:58.778385,1.3208403247051053,3.20025953099028,191,341,0.13518448212462328,7.435198680381667,COMPLETE
10,0.023310206830501556,2025-04-13 02:45:57.290306,2025-04-13 02:57:22.456451,0 days 00:11:25.166145,2.0145111906376836,1.8822212392528201,109,488,0.3975357758958836,2.01520789464863,COMPLETE
11,0.024711158126592636,2025-04-13 02:57:22.456692,2025-04-13 03:01:10.182498,0 days 00:03:47.725806,3.5752605701194704,4.746051030913824,73,235,0.7785150691062104,3.6167620706722663,COMPLETE
12,0.0,2025-04-13 03:01:10.182736,2025-04-13 03:02:22.230011,0 days 00:01:12.047275,3.2032108861175654,3.5797004932863135,14,364,0.9963352231161282,3.598999445066656,COMPLETE
13,0.022930916398763657,2025-04-13 03:02:22.230243,2025-04-13 03:05:56.148900,0 days 00:03:33.918657,1.8021643844850441,0.15170543201018205,82,185,0.6475805734326513,3.971435802210739,COMPLETE
14,0.025425057858228683,2025-04-13 03:05:56.149138,2025-04-13 03:19:07.025021,0 days 00:13:10.875883,3.9847327418677816,2.3905230832844304,138,414,0.013358823648076168,2.0273108983848855,COMPLETE
15,0.024711158126592636,2025-04-13 03:19:07.025256,2025-04-13 03:48:59.676412,0 days 00:29:52.651156,3.901560480259657,2.372443122204692,146,418,0.005734473892803502,2.1813601346945193,COMPLETE
16,0.0,2025-04-13 03:48:59.676654,2025-04-13 04:08:35.385690,0 days 00:19:35.709036,2.8233474211343497,1.0692479185486419,135,497,0.014526387210848736,5.206142440222237,COMPLETE
17,0.024428091943264008,2025-04-13 04:08:35.385945,2025-04-13 04:18:25.107848,0 days 00:09:49.721903,2.6072798391493293,1.8425925540985055,89,398,0.2994987035704743,4.596911154967497,COMPLETE
18,0.024711158126592636,2025-04-13 04:18:25.108113,2025-04-13 04:35:04.825588,0 days 00:16:39.717475,4.04140993733069,0.6630960819961778,132,460,0.5338169158293793,6.587450738521621,COMPLETE
19,0.018862716853618622,2025-04-13 04:35:04.825840,2025-04-13 06:33:41.163327,0 days 01:58:36.337487,0.20491618008155,2.685501461026128,157,300,0.30693296697370887,2.630565453038005,COMPLETE
20,0.0,2025-04-13 06:33:41.163547,2025-04-13 06:34:46.102339,0 days 00:01:04.938792,2.130653716436581,1.7684209467933714,17,300,0.1326774502835239,4.467251285647626,COMPLETE
21,0.025425057858228683,2025-04-13 06:34:46.102559,2025-04-13 06:40:23.663006,0 days 00:05:37.560447,4.912295171006172,4.056987212273374,66,403,0.8327717352089918,2.8195009776163324,COMPLETE
22,0.0,2025-04-13 06:40:23.663226,2025-04-13 06:48:25.405858,0 days 00:08:01.742632,4.311697416076537,3.6922831949250563,93,402,0.7927615601112185,2.878809840300524,COMPLETE
23,0.024711158126592636,2025-04-13 06:48:25.406080,2025-04-13 06:51:28.871512,0 days 00:03:03.465432,4.874387054421975,2.7262708309283386,32,444,0.44822152601447207,2.7841944281088122,COMPLETE
24,0.024711158126592636,2025-04-13 06:51:28.871733,2025-04-13 06:58:33.126115,0 days 00:07:04.254382,3.6810863865803496,2.0835952237499558,66,500,0.9958916962265277,4.2422700006677525,COMPLETE
25,0.024711158126592636,2025-04-13 06:58:33.126337,2025-04-13 07:08:55.686188,0 days 00:10:22.559851,3.0613096903748698,3.477316067579502,127,379,0.236622270964674,6.0867831162492845,COMPLETE
26,0.024711158126592636,2025-04-13 07:08:55.686407,2025-04-13 07:15:16.483466,0 days 00:06:20.797059,4.411839192066488,4.060207681197546,98,301,0.3498235700030343,3.0508625103259095,COMPLETE
27,0.024711158126592636,2025-04-13 07:15:16.483705,2025-04-13 07:26:20.361193,0 days 00:11:03.877488,4.926055822542725,3.0274471145639574,118,437,0.07670093889079654,2.2380399409546174,COMPLETE
28,0.024711158126592636,2025-04-13 07:26:20.361419,2025-04-13 07:50:39.482909,0 days 00:24:19.121490,3.7664766778278027,1.2863707108981786,79,466,0.516111286140838,3.8329303831281116,COMPLETE
29,0.024711158126592636,2025-04-13 07:50:39.483125,2025-04-13 07:55:52.789404,0 days 00:05:13.306279,3.433345431309742,2.2748997236937054,58,423,0.7930206532693241,4.848846185021613,COMPLETE
30,0.0,2025-04-13 07:55:52.789629,2025-04-13 07:58:44.942988,0 days 00:02:52.153359,2.3408490942260998,1.5466149009364607,41,325,0.19357984727786517,3.2860487868439154,COMPLETE
31,0.0,2025-04-13 07:58:44.943210,2025-04-13 08:01:13.729930,0 days 00:02:28.786720,4.580278354191679,4.9603813041976315,63,183,0.7015704752122867,2.569809007797688,COMPLETE
32,0.0,2025-04-13 08:01:13.730150,2025-04-13 08:03:42.065161,0 days 00:02:28.335011,4.593634090507856,4.488661265745525,53,217,0.8882195448703929,3.251745759311241,COMPLETE
33,0.0,2025-04-13 08:03:42.065387,2025-04-13 08:03:46.600286,0 days 00:00:04.534899,4.211992126763251,4.466592303052749,26,12,0.5881225082810116,2.4582773642907956,COMPLETE
34,0.0,2025-04-13 08:03:46.600512,2025-04-13 08:04:36.752201,0 days 00:00:50.151689,4.465707624951434,4.0704785574286735,48,80,0.7230022742594493,3.212930870223882,COMPLETE
35,0.024711158126592636,2025-04-13 08:04:36.752426,2025-04-13 08:11:50.393258,0 days 00:07:13.640832,4.025836323772132,3.9374140350151245,73,461,0.9373798344893163,9.083385680405643,COMPLETE
36,0.024711158126592636,2025-04-13 08:11:50.393480,2025-04-13 08:26:17.297531,0 days 00:14:26.904051,4.743599405056722,0.8170755027373677,166,379,0.850147765340376,5.969511374253472,COMPLETE
37,0.0209236741065979,2025-04-13 08:26:17.297767,2025-04-13 08:27:50.798083,0 days 00:01:33.500316,1.4015751791104907,4.866722153897228,105,59,0.5954987336334241,7.68182698517875,COMPLETE
38,0.024711158126592636,2025-04-13 08:27:50.798340,2025-04-13 08:37:38.435453,0 days 00:09:47.637113,4.987547521097177,2.923517905013508,147,268,0.4641480626612352,2.0002005378758296,COMPLETE
39,0.024711158126592636,2025-04-13 08:37:38.435698,2025-04-13 08:44:13.110873,0 days 00:06:34.675175,4.208838658178088,3.3629008548419463,178,145,0.7308831662297532,4.10638905615917,COMPLETE
